id,gender,birthdate,maiden_name,lname,fname,address,city,state,zip,phone,email,cc_type,cc_number,cc_cvc,cc_expiredate
172-32-1176,m,1958/04/21,Smith,White,{{NAME-13}},10932 {{NAME-42}} {{NAME-43}},{{NAME-84}} {{NAME-85}},CA,94025,408 496-7223,jwhite@domain.com,m,5270 4267 6450 5516,123,2010/06/25
514-14-8905,f,1944/12/22,Amaker,Borden,{{NAME-14}},4469 {{NAME-44}} {{NAME-45}},{{NAME-86}},KS,66428,785-939-6046,aborden@domain.com,m,5370 4638 8881 3020,713,2011/02/01
213-46-8915,f,1958/04/21,Pinson,Green,{{NAME-15}},309 63rd St. #411,{{NAME-87}},CA,94618,415 986-7020,mgreen@domain.com,v,4916 9766 5240 6147,258,2009/02/25
524-02-7657,m,1962/03/25,Hall,Munsch,{{NAME-16}},2183 {{NAME-46}} {{NAME-47}},{{NAME-88}},CO,80112,303-901-6123,jmunsch@domain.com,m,5180 3807 3679 8221,612,2010/03/01
489-36-8350,m,1964/09/06,Porter,Aragon,{{NAME-17}},3181 {{NAME-48}} {{NAME-49}} {{NAME-50}},{{NAME-89}} {{NAME-90}},MO,66215,816-645-6936,raragon@domain.com,v,4929 3813 3266 4295,911,2011/12/01
514-30-2668,f,1986/05/27,Nicholson,Russell,{{NAME-18}},3097 {{NAME-51}} {{NAME-45}},{{NAME-89}} {{NAME-90}},MO,66215,913-227-6106,jrussell@domain.com,a,345389698201044,232,2010/01/01
505-88-5714,f,1963/09/23,Mcclain,Venson,{{NAME-19}},539 {{NAME-52}} {{NAME-45}},{{NAME-91}} {{NAME-92}},NE,68883,308-583-8759,lvenson@domain.com,d,30204861594838,471,2011/12/01
690-05-5315,m,1969/10/02,Kings,Conley,{{NAME-20}},570 {{NAME-53}} {{NAME-45}},{{NAME-93}},NC,27560,919-656-6779,tconley@domain.com,v,4916 4811 5814 8111,731,2010/10/01
646-44-9061,M,1978/01/12,Kurtz,Jackson,{{NAME-21}},1074 Small {{NAME-45}},{{NAME-94}} {{NAME-95}},NY,10011,212-847-4915,cjackson@domain.com,m,5218 0144 2703 9266,892,2011/11/01
421-37-1396,f,1980/04/09,Linden,Davis,{{NAME-22}},4222 {{NAME-54}} {{NAME-45}},{{NAME-96}},AL,35501,205-221-9156,sdavis@domain.com,v,4916 4034 9269 8783,33,2011/04/01
461-97-5660,f,1975/01/04,Kingdon,Watson,{{NAME-23}},3414 {{NAME-55}} {{NAME-45}},{{NAME-97}},TX,77002,713-547-3414,gwatson@domain.com,v,4532 1753 6071 1112,694,2011/09/01
660-03-8360,f,1953/07/11,Onwunli,Garrison,{{NAME-24}},515 {{NAME-56}} {{NAME-50}},{{NAME-64}} {{NAME-21}},LA,70629,337-965-2982,lgarrison@domain.com,v,4539 5385 7425 5825,680,2011/06/01
751-01-2327,f,1968/02/16,Simpson,Renfro,{{NAME-25}},4032 {{NAME-57}} {{NAME-58}} {{NAME-50}},{{NAME-98}},HI,96748,808-560-1638,jrenfro@domain.com,m,5325 3256 9519 6624,238,2009/03/01
559-81-1301,m,1952/01/20,Mcafee,Heard,{{NAME-26}},2865 {{NAME-59}} {{NAME-60}},{{NAME-99}} {{NAME-100}},CA,95129,408-370-0031,jheard@domain.com,v,4532 4220 6922 9909,311,2010/09/01
624-84-9181,m,1980/01/16,Frazier,Reyes,{{NAME-27}},3500 {{NAME-61}} {{NAME-45}},{{NAME-99}} {{NAME-101}} {{NAME-102}},CA,93401,805-369-0464,dreyes@domain.com,v,4532 0065 1968 5602,713,2009/11/01
449-48-3135,m,1982/06/14,Feusier,Hall,{{NAME-28}},4986 {{NAME-62}} {{NAME-45}},{{NAME-97}},TX,77077,281-597-5517,mhall@domain.com,v,4556 0072 1294 7415,953,2010/05/01
477-36-0282,m,1961/03/10,Vasquez,Mceachern,{{NAME-29}},456 {{NAME-63}} {{NAME-64}} {{NAME-60}},{{NAME-103}},MN,55401,952-412-3707,mmceachern@domain.com,m,5527 1247 5046 7780,889,2009/03/01
458-02-6124,m,1955/09/20,Pennebaker,Diaz,{{NAME-30}},582 {{NAME-65}} {{NAME-66}},{{NAME-104}},TX,75247,903-624-9156,cdiaz@domain.com,m,5299 1561 5689 1938,584,2011/08/01
044-34-6954,m,1967/05/28,Simpson,Lowe,{{NAME-31}},1620 {{NAME-67}} {{NAME-45}},{{NAME-105}} {{NAME-106}},CT,6108,860-755-0293,tlowe@domain.com,m,5144 8691 2776 1108,616,2011/10/01
587-03-2682,f,1958/10/24,Dickerson,Oyola,{{NAME-32}},2489 {{NAME-68}} {{NAME-69}} {{NAME-45}},{{NAME-107}},MS,39567,228-938-2056,loyola@domain.com,v,4532 9929 3036 9308,991,2011/07/01
421-90-3440,f,1953/07/17,Kroeger,Morrison,{{NAME-33}},4696 {{NAME-70}} {{NAME-71}},{{NAME-108}},AL,35209,205-276-1807,amorrison@domain.com,v,4539 0031 3703 0728,322,2009/12/01
451-80-3526,m,1950/06/09,Parmer,Santos,{{NAME-20}},173 {{NAME-72}} {{NAME-45}},{{NAME-109}} {{NAME-110}},TX,76104,940-859-1393,tsantos@domain.com,v,4716 6984 4983 6160,767,2011/09/01
300-62-3266,m,1965/02/10,Spain,Faulkner,{{NAME-34}},1843 {{NAME-73}} {{NAME-45}},{{NAME-111}},OH,43602,419-340-3832,vfaulkner@domain.com,m,5548 0246 6336 5664,276,2010/02/01
322-84-2281,m,1977/08/19,Miley,Iorio,{{NAME-35}},4899 {{NAME-74}} {{NAME-75}} {{NAME-60}},{{NAME-112}},IL,62701,217-615-6419,aiorio@domain.com,v,4916 6734 7572 5015,347,2010/02/01
465-73-5022,f,1964/06/20,Summers,Kaminski,{{NAME-36}},1517 {{NAME-76}} {{NAME-77}},{{NAME-97}},TX,77006,281-906-2148,tkaminski@domain.com,m,5399 0706 4128 0178,721,2009/10/01
612-20-6832,m,1979/08/18,Banas,Edwards,{{NAME-37}},4254 {{NAME-78}} {{NAME-79}} Way,{{NAME-113}},CA,90248,626-991-3620,redwards@domain.com,m,5293 8502 0071 3058,701,2010/08/01
687-05-8365,f,1976/05/24,Robbins,Peacock,{{NAME-38}},3396 {{NAME-53}} {{NAME-45}},{{NAME-114}},NC,27612,919-571-2339,speacock@domain.com,m,5495 8602 4508 6804,436,2011/02/01
205-52-0027,f,1950/03/26,Sanford,Nelson,{{NAME-39}},4213 {{NAME-80}} {{NAME-81}} {{NAME-77}},{{NAME-115}},PA,18641,570-480-8704,anelson@domain.com,m,5413 4428 0145 0036,496,2010/02/01
404-12-2154,f,1984/09/21,Garcia,Townsend,{{NAME-40}},2877 {{NAME-82}} {{NAME-45}},{{NAME-116}},KY,42003,270-408-7254,mtownsend@domain.com,v,4539 8219 0484 7598,710,2011/03/01
151-32-2558,f,1952/11/19,Stockdale,Zwick,{{NAME-41}},784 {{NAME-83}} {{NAME-71}},{{NAME-117}},NJ,8854,908-814-6733,rzwick@domain.com,v,5252 5971 4219 4116,173,2011/02/01
